Sl No,date,day,shift,coursecode,roomno,rollnolist
105,21-09-2025,Sunday,Evening,CS1101,LT103,"2503CE05,2503CE06,2503CS01,2503CS02,2503CS03,2503CS04,2503CS05,2503CT01,2503CT02,2503CT03,2503EC01,2503EC02,2503EC03,2503EC04,2503EE01,2503EE02,2503EE03,2503EE04,2503EE05,2503EE06,2503ES01,2503ES02,2503ES03,2503ES04,2503ES05,2503MC01,2503MC02,2503MC03,2503MC04,2503MC05,2503ME01,2503ME02,2503ME03,2503ME04,2503ME05,2503ME06,2503ME07,2503ME08,2503ME09,2503ME10,2503ME11,2503ME12,2503ME13,2503ME14,2503ME15,2503MM01,2503MM02,2503MM03,2503MM04,2503PH01,2503PH02,2503PH03,2503PH04,"
106,21-09-2025,Sunday,Evening,CS3101,LT103,"2301CS64,2301CS65,2301CS66,2301CS67,2301CS68,2301CS69,2301CS70,2301CS71,2301CS72,2301CS73,2301CS74,2301CS75,2301CS76,2301CS77,2301CS78,2301CS79,2301CS80,2301CS81,2301CS82,2301CS83,2301CS84,2301CS85,2301CS86,2301CS87,2301CS88,2301CS89,2301CS90,2301CS91,2301CS92,2301CS93,2301CS94,2301CS95,2301EC06,2301EC28,2301EC56,2301EE42,2301MC57,2301MC58,2302CS01,2302CS02,2302CS03,2302CS04,2302CS05,2302CS06,2302CS07,2302CS08,2302CS09,2302CS10,2302CS11,2302PC08,2302VL08,"
107,21-09-2025,Sunday,Evening,CE6125,LT103,"2521CE04,"
108,22-09-2025,Monday,Morning,CE537,102,"2201CE01,2201CE02,2201CE03,2201CE04,2201CE05,2201CE06,2201CE08,2201CE09,2201CE10,2201CE11,2201CE12,2201CE14,2201CE15,2201CE16,2201CE17,2201CE18,2201CE19,2201CE20,2201CE21,2201CE22,2201CE24,2201CE25,2201CE26,2201CE27,2201CE28,2201CE29,2201CE30,2201CE31,2201CE32,2201CE33,2201CE34,2201CE35,2201CE37,2201CE38,2201CE39,2201CE41,2201CE42,2201CE43,2201CE44,2201CE45,2201CE47,2201CE48,2201CE50,2201CE52,2201CE54,2201CE57,2201CE58,2201CE59,2201CE60,2201CE62,2201CE63,2201CE64,2201CE68,2201CE69,"
109,22-09-2025,Monday,Morning,CE3105,102,"2301AI06,2301AI12,2301AI14,2301AI15,2301AI17,2301AI21,2301AI22,2301AI23,2301AI25,2301AI26,2301AI29,2301AI34,2301AI41,2301AI46,2301AI47,2301AI52,2301AI57,2301CB07,2301CB13,2301CB14,2301CB23,2301CB48,2301CB51,2301CB52,2301CB53,2301CB59,"
111,22-09-2025,Monday,Morning,CE3105,104,"2301CS05,2301CS09,2301CS13,2301CS15,2301CS17,2301CS25,2301CS28,2301CS32,2301CS33,2301CS44,2301CS46,2301CS47,2301CS48,2301CS53,2301CS61,2301CS64,2301CS68,2301CS70,2301CS78,2301CS81,2301CS82,2301CS84,2301CS85,2301CS92,2301CT06,2301CT14,2301CT21,2301CT24,2301CT25,2301CT26,2301EC10,2301EC16,2301EC31,2301EC32,2301EC33,2301EC37,2301EC41,2301EC44,2301EC48,2301EC53,2301EC56,2301EE03,2301EE15,2301EE17,2301EE22,2301EE24,2301EE25,2301EE38,2301EE41,2301EE50,2301MC12,2301MC14,2301MC25,2301MC31,2301MC32,2301MC41,2301MC49,2301MC60,2301MC61,2301ME21,2301ME35,2301ME39,2301ME47,2301MM06,2301MM33,2301PH24,2302CM03,2302CM07,2302CM09,2302CS01,2302MC12,2302MT05,2302MT09,"
112,22-09-2025,Monday,Morning,CB6105,107,"2421CB09,2421CB12,2421CH10,2421CH12,2422CB01,2422CB02,2422CB03,2422CB05,2422CB06,2422CE02,2511CB01,2511CB02,2511CB03,2511CB05,2511CB07,2511CB08,2521CB01,2521CB02,2521CB03,2521CB04,2521CB05,2521CB06,2521CB07,2521CB08,2521CB09,2521CB10,2521CB11,2521CB12,2521CB13,2521CE15,2521CE17,"
113,22-09-2025,Monday,Morning,CS6103,107,"2421EE24,2421ME11,2422CS05,2422CS07,2422CS11,2422CS15,2422CS16,2422CS18,2422CS19,2422CS21,2422CS22,2422CS23,2422CS25,2422CS27,2422EE04,2422EE05,2511AI01,2511AI02,2511AI03,2511AI04,2511AI06,2511AI07,2511AI08,2511AI09,2511AI10,2511AI11,2511AI12,2511AI13,2511AI14,2511AI15,2511AI17,2511AI18,2511AI19,2511AI20,2511AI21,2511AI23,2511AI24,2511AI25,2511AI26,2511AI27,2511AI28,2511AI29,2511AI30,2511AI31,2511AI33,2511AI34,2511AI35,"
114,22-09-2025,Monday,Morning,MM523,109,"2201MM01,2201MM02,2201MM03,2201MM04,2201MM05,2201MM06,2201MM07,2201MM08,2201MM09,2201MM10,2201MM11,2201MM12,2201MM13,2201MM14,2201MM15,2201MM16,2201MM17,2201MM18,2201MM19,2201MM20,2201MM23,2201MM24,2201MM25,2201MM26,2201MM27,2201MM29,2201MM30,2201MM33,2201MM34,2201MM35,2201MM36,2201MM37,2201MM38,2201MM39,2201MM40,"
115,22-09-2025,Monday,Morning,MM5102,109,"2511MM01,2511MM04,2511MM05,2511MM06,2511MM09,"
116,22-09-2025,Monday,Morning,CS6103,109,"2511AI36,2511AI38,2511AI39,2511AI41,2511AI42,2511AI43,2511AI44,2511AI45,2511AI46,2511AI47,2511AI48,2511AI49,2511AI50,2511AI51,2511AI52,2511AI54,2511AI55,2511AI56,2511AI57,2511AI58,2511AI60,2511AI61,2511AI62,2511AI63,2511CS01,2511CS02,2511CS03,2511CS04,2511CS06,2511CS07,2511CS08,2511CS09,2511CS10,2511CS11,2511CS12,2511CS13,2511CS14,2511CS15,2511CS17,2511CS18,"
117,22-09-2025,Monday,Morning,EE525,301,"2201EE01,2201EE02,2201EE03,2201EE04,2201EE05,2201EE06,2201EE07,2201EE08,2201EE09,2201EE10,2201EE11,2201EE12,2201EE13,2201EE14,2201EE15,2201EE18,2201EE20,"
118,22-09-2025,Monday,Morning,CS6103,301,"2511CS19,2511CS20,2511CS22,2511CS23,2511CS24,2511MC02,2511MC03,2511MC04,2511MC05,2511MC06,2511MC08,2511MC09,2511MC10,"
119,22-09-2025,Monday,Morning,EE525,302,"2201EE21,2201EE22,2201EE23,2201EE24,2201EE25,2201EE26,2201EE27,2201EE28,2201EE29,2201EE31,2201EE32,2201EE33,2201EE34,2201EE35,2201EE36,2201EE37,2201EE38,2201EE39,2201EE40,2201EE41,2201EE42,2201EE45,2201EE46,2201EE47,2201EE48,2201EE49,2201EE50,2201EE51,2201EE52,2201EE53,2201EE54,2201EE55,2201EE56,2201EE58,2201EE59,2201EE60,"
120,22-09-2025,Monday,Morning,MA473,303,"2201MC01,2201MC02,2201MC03,2201MC04,2201MC05,2201MC06,2201MC07,2201MC08,2201MC09,2201MC10,2201MC11,2201MC12,2201MC14,2201MC15,2201MC16,2201MC18,2201MC19,2201MC20,2201MC22,2201MC24,2201MC25,2201MC26,2201MC28,2201MC29,2201MC30,2201MC32,2201MC33,2201MC34,2201MC35,2201MC36,2201MC38,2201MC39,2201MC40,2201MC42,2201MC43,2201MC44,2201MC45,2201MC46,2201MC47,2201MC48,2201MC49,2201MC50,2201MC51,2201MC52,2201MC53,2201MC54,2201MC55,2201MC56,2201MC57,2201MC58,2201MC59,2201MC60,"
121,22-09-2025,Monday,Morning,EE525,303,"2201EE61,2201EE63,2201EE64,2201EE65,2201EE66,2201EE67,2201EE68,2201EE69,2201EE70,2201EE71,2201EE72,2201EE73,2201EE74,2201EE75,2201EE76,"
122,22-09-2025,Monday,Morning,EC5102,304,"2511CM01,2511CM02,2511CM03,2511CM04,2511CM05,2511CM06,2511CM07,2511CM08,2511CM09,2511CM10,2511CM11,2511CM12,2511CM14,2511CM15,2511CM16,2511CM17,"
123,22-09-2025,Monday,Morning,EC5104,304,"2421EE14,2421EE15,2511VL01,2511VL04,2511VL05,2511VL06,2511VL07,"
124,22-09-2025,Monday,Morning,CE5103,304,"2511EV01,2511EV02,2511EV03,2511EV05,2511EV06,2511EV07,2511EV08,2511EV09,2511EV10,"
125,22-09-2025,Monday,Morning,ME6102,307,"2411ME32,2411ME43,2421ME13,2511TF01,2511TF02,2511TF03,2511TF04,2511TF05,2511TF06,2511TF08,2511TF09,2511TF11,2511TF12,2521ME03,2521ME06,2521ME10,2521ME13,"
126,22-09-2025,Monday,Morning,ME503,307,"2201ME47,"
127,22-09-2025,Monday,Morning,ME561,307,"2201ME01,2201ME02,2201ME03,2201ME04,2201ME05,2201ME06,2201ME07,2201ME08,2201ME11,2201ME12,2201ME13,2201ME14,2201ME15,2201ME16,"
128,22-09-2025,Monday,Morning,ME561,308,"2201ME17,2201ME18,2201ME19,2201ME20,2201ME21,2201ME22,2201ME23,2201ME24,2201ME25,2201ME26,2201ME27,2201ME29,2201ME30,2201ME31,2201ME32,2201ME33,2201ME34,2201ME35,2201ME36,2201ME37,2201ME38,2201ME41,2201ME42,2201ME43,2201ME44,2201ME45,2201ME46,2201ME48,2201ME49,2201ME50,2201ME51,2201ME52,2201ME53,2201ME54,2201ME55,2201ME58,2201ME59,2201ME60,2201ME61,2201ME62,2201ME63,2201ME67,2201ME68,2201ME69,2201ME70,2201ME71,2201ME72,2201ME76,2201ME77,2201ME78,2201ME80,2201ME83,2201ME84,2201ME85,2201ME87,"
129,22-09-2025,Monday,Morning,EE525,308,"2201EE77,2201EE78,2201EE79,2201EE80,2201EE81,2201EE82,2201EE83,2201EE84,2201EE85,2201EE86,2201EE87,2201EE88,2201EE89,2201EE90,2201EE91,2201EE92,2201EE93,2201EE94,2201EE95,2201EE96,2201EE97,2201EE98,2201EE99,"
130,22-09-2025,Monday,Morning,ME6107,309,"2421ME16,2511AM01,2511AM02,2511AM03,2511AM04,2511AM05,2511AM06,2511AM07,2511AM08,2511MD01,2511MD03,2511MD04,2511MD05,2511MD06,2511MD07,2511MD08,2511MD09,2511MD11,2511MD12,2511MD13,2511MD14,2511MD15,2521ME09,2521ME11,2521ME12,2521ME15,"
131,22-09-2025,Monday,Morning,EE5102,309,"2511PC01,2511PC02,2511PC04,"
132,22-09-2025,Monday,Morning,HS2115,502,"2303ME01,2303ME02,2303ME03,2303ME04,2303ME05,2303ME06,2303ME07,2303ME08,2303ME09,2303ME10,2303ME11,2303ME12,2303ME13,2303ME14,2401AI03,2401AI06,2401AI08,2401AI10,2401AI16,2401AI19,2401AI21,2401AI25,2401AI31,2401AI38,2401AI39,2401AI40,2401AI42,2401AI43,2401AI45,2401AI46,2401AI52,2401AI54,2401CB12,2401CB15,2401CB22,2401CB26,2401CB30,2401CB31,2401CB36,2401CB40,2401CB46,2401CB60,2401CB64,2401CB65,2401CB70,2401CE08,2401CE09,2401CE16,2401CE17,2401CE23,2401CE28,2401CE30,2401CE40,2401CE42,2401CE44,2401CE46,2401CE47,2401CE53,2401CE56,2401CE63,2401CS04,2401CS06,2401CS09,2401CS20,2401CS22,2401CS37,2401CS46,2401CS51,2401CS61,2401CS63,2401CS66,2401CS69,2401CS74,2401CS87,2401CS89,2401CS95,2401CT11,2401CT16,2401CT18,2401CT25,2401CT30,2401CT31,2401CT32,2401CT36,2401EC01,2401EC06,2401EC08,2401EC13,2401EC14,2401EC18,2401EC39,2401EC40,2401EC46,2401EC52,2401EC53,2401EC56,2401EC58,2401EC59,2401EC60,2401EC63,"
133,22-09-2025,Monday,Morning,HS2115,LT001,"2401EE01,2401EE03,2401EE04,2401EE05,2401EE07,2401EE10,2401EE12,2401EE15,2401EE18,2401EE20,2401EE25,2401EE30,2401EE33,2401EE35,2401EE36,2401EE38,2401EE40,2401EE45,2401EE48,2401EE50,2401EE51,2401EE52,2401EE55,2401MC01,2401MC05,2401MC08,2401MC15,2401MC18,2401MC21,2401MC23,2401MC26,2401MC31,2401MC42,2401MC51,2401MC52,2401MC54,2401MC55,2401MC56,2401MC58,2401ME05,2401ME06,2401ME08,2401ME11,2401ME12,2401ME20,2401ME27,2401ME38,2401ME43,2401ME49,2401ME52,"
134,22-09-2025,Monday,Morning,CS502,LT001,"2101CS86,2201AI01,2201AI02,2201AI03,2201AI04,2201AI05,2201AI07,2201AI08,2201AI09,2201AI10,2201AI11,2201AI12,2201AI13,2201AI14,2201AI15,2201AI16,2201AI17,2201AI18,2201AI19,2201AI20,2201AI21,2201AI22,2201AI24,2201AI25,2201AI26,2201AI27,2201AI28,2201AI29,2201AI30,2201AI31,2201AI32,2201AI33,2201AI34,2201AI35,2201AI36,2201AI37,2201AI38,2201AI39,2201AI40,2201AI41,2201AI42,2201AI43,2201AI44,2201AI45,2201AI46,2201AI47,2201AI48,2201AI49,2201AI50,2201AI51,"
135,22-09-2025,Monday,Morning,HS2112,LT002,"2401AI02,2401AI13,2401AI14,2401AI18,2401AI20,2401AI24,2401AI26,2401AI28,2401AI30,2401AI37,"
136,22-09-2025,Monday,Morning,CS502,LT002,"2201AI52,2201AI53,2201AI54,2201AI55,2201AI56,2201AI57,2201CS01,2201CS02,2201CS03,2201CS04,2201CS05,2201CS06,2201CS07,2201CS08,2201CS10,2201CS11,2201CS12,2201CS13,2201CS14,2201CS15,2201CS16,2201CS17,2201CS18,2201CS19,2201CS20,2201CS21,2201CS22,2201CS23,2201CS24,2201CS25,"
137,22-09-2025,Monday,Morning,HS2116,LT002,"2401AI04,2401AI05,2401AI11,2401AI12,2401AI23,2401AI27,2401AI29,2401AI34,2401AI36,2401AI48,2401AI49,2401AI51,2401CB16,2401CB17,2401CB18,2401CB21,2401CB23,2401CB25,2401CB44,2401CB48,2401CB53,2401CB54,2401CB61,2401CE03,2401CE06,2401CE20,2401CE32,2401CE38,2401CE41,2401CE45,"
138,22-09-2025,Monday,Morning,HS2111,LT002,"2401AI01,2401AI07,2401AI09,2401AI15,2401AI17,2401AI22,2401AI32,2401AI33,2401AI44,2401AI50,"
139,22-09-2025,Monday,Morning,HS2111,LT003,"2401AI53,2401AI56,2401CB01,2401CB02,2401CB03,2401CB04,2401CB05,2401CB08,2401CB10,2401CB19,2401CB27,2401CB29,2401CB32,2401CB33,2401CB34,2401CB35,2401CB38,2401CB42,2401CB43,2401CB50,2401CB52,2401CB55,2401CB56,2401CB58,2401CB66,2401CB67,2401CB68,2401CB69,2401CE04,2401CE05,2401CE13,2401CE15,2401CE18,2401CE22,2401CE25,2401CE26,2401CE29,2401CE33,2401CE34,2401CE35,2401CE39,2401CE48,2401CE50,2401CE51,2401CE54,2401CE58,2401CS01,2401CS05,2401CS12,2401CS15,2401CS17,2401CS23,2401CS29,2401CS32,2401CS34,2401CS40,2401CS47,2401CS50,2401CS53,2401CS64,2401CS67,2401CS68,2401CS83,2401CS85,2401CS86,2401CS88,2401CS90,2401CS91,2401CS93,2401CS94,2401CS96,2401CT14,2401CT17,2401CT21,2401CT26,"
140,22-09-2025,Monday,Morning,HS2112,LT003,"2401AI41,2401AI47,2401AI55,2401CB06,2401CB07,2401CB09,2401CB11,2401CB14,2401CB41,2401CB45,2401CB59,2401CB62,2401CB63,2401CE01,2401CE02,2401CE07,2401CE11,2401CE19,2401CE21,2401CE31,2401CE36,2401CE37,2401CE43,2401CE49,2401CE52,2401CE55,2401CE60,2401CE61,2401CE62,2401CS02,2401CS07,2401CS10,2401CS11,2401CS13,2401CS14,2401CS18,2401CS19,2401CS21,2401CS24,2401CS25,2401CS27,2401CS30,2401CS31,2401CS33,2401CS35,2401CS36,2401CS38,2401CS39,2401CS42,2401CS43,2401CS44,2401CS45,2401CS48,2401CS49,2401CS52,2401CS54,2401CS55,2401CS56,2401CS60,2401CS62,2401CS65,2401CS71,2401CS72,2401CS73,2401CS75,2401CS77,2401CS80,2401CS81,2401CS84,2401CS92,2401CT01,2401CT05,2401CT06,2401CT07,2401CT12,"
141,22-09-2025,Monday,Morning,HS2115,LT101,"2401ME57,2401ME59,2401ME60,2401ME64,2401ME65,2401ME70,2401MM09,2401MM10,2401MM12,2401MM24,2401MM28,2401MM31,2401MM32,2401MM33,2401PH01,2401PH04,2401PH06,2401PH10,2401PH12,2401PH19,2401PH20,2401PH26,2402CM02,2402CM03,2402CM04,2402CM08,2402CS02,2402CS06,2402CS08,2402MC03,2402MC07,2402MC11,2402MT01,2402MT04,2402MT06,2402MT09,2402PC04,2402PC06,2402PC07,2402PC08,2402PC10,2402PC11,2402ST05,2402VL03,2402VL11,2403CE04,2403CS01,2403CS05,2403CT01,2403CT04,"
142,22-09-2025,Monday,Morning,HS2116,LT101,"2401CE57,2401CE64,2401CS08,2401CS16,2401CS26,2401CS28,2401CS41,2401CS57,2401CS58,2401CS59,2401CS70,2401CS76,2401CS78,2401CS79,2401CS82,2401CT03,2401CT04,2401CT09,2401CT10,2401CT23,2401CT34,2401EC05,2401EC21,2401EC31,2401EC34,2401EC36,2401EC38,2401EC50,2401EC57,2401EE06,2401EE11,2401EE26,2401EE31,2401EE37,2401EE39,2401EE56,2401MC12,2401MC13,2401MC14,2401MC19,2401MC20,2401MC27,2401MC30,2401MC32,2401MC35,2401MC36,2401MC44,2401MC49,2401ME07,2401ME09,"
143,22-09-2025,Monday,Morning,HS2111,LT102,"2401CT28,2401CT35,2401EC02,2401EC03,2401EC07,2401EC09,2401EC10,2401EC12,2401EC15,2401EC17,2401EC19,2401EC28,2401EC29,2401EC32,2401EC35,2401EC47,2401EC48,2401EC49,2401EE02,2401EE08,2401EE13,2401EE17,2401EE27,2401EE29,2401EE46,2401ES03,2401ES07,2401ES11,2401ES12,2401ES15,2401ES16,2401MC03,2401MC04,2401MC06,2401MC10,2401MC11,2401MC17,2401MC22,2401MC38,2401MC40,"
144,22-09-2025,Monday,Morning,HS2112,LT102,"2401CT13,2401CT15,2401CT19,2401CT20,2401CT22,2401CT29,2401EC04,2401EC11,2401EC23,2401EC27,2401EC37,2401EC41,2401EC42,2401EC43,2401EC44,2401EC45,2401EC51,2401EC54,2401EC55,2401EC61,2401EC62,2401EE16,2401EE19,2401EE28,2401EE41,2401EE42,2401EE43,2401EE44,2401EE53,2401EE54,2401EE57,2401ES01,2401ES02,2401ES04,2401ES05,2401ES06,2401ES08,2401ES09,2401ES10,2401ES13,"
145,22-09-2025,Monday,Morning,HS2111,LT103,"2401MC43,2401MC46,2401MC47,2401MC53,2401MC57,2401ME04,2401ME23,2401ME24,2401ME29,2401ME32,2401ME33,2401ME36,2401ME42,2401ME44,2401ME45,2401ME50,2401ME56,2401ME58,2401ME67,2401ME69,2401ME75,2401ME76,2401ME77,2401ME81,2401ME82,2401MM05,2401MM08,2401MM13,2401MM25,2401MM26,2401MM27,2401MM29,2401MM30,2401MM35,2401MM36,2401MM39,2401PH02,2401PH15,2401PH16,2401PH17,2401PH18,2401PH21,2401PH24,2401PH25,2401PH27,2401PH30,2401PH31,2401PH32,2402CM01,2402CM05,2402CM06,2402CS07,2402CS11,2402GT01,2402GT02,2402GT03,2402GT04,2402GT07,2402MC01,2402MC05,2402MC06,2402MC08,2402MT02,2402ST01,2402ST04,2402ST08,2402VL04,2403AI01,2403CB03,2403CE02,2403CT02,2403ES04,2403MM01,2403MM02,2403PH05,"
146,22-09-2025,Monday,Morning,HS2112,LT103,"2401ES14,2401ES17,2401ES19,2401ES20,2401MC02,2401MC07,2401MC09,2401MC16,2401MC24,2401MC25,2401MC29,2401MC33,2401MC34,2401MC37,2401MC39,2401MC48,2401MC50,2401ME01,2401ME13,2401ME14,2401ME15,2401ME21,2401ME22,2401ME28,2401ME31,2401ME35,2401ME37,2401ME48,2401ME51,2401ME53,2401ME55,2401ME63,2401ME66,2401ME68,2401ME71,2401ME73,2401ME74,2401ME79,2401MM06,2401MM14,2401MM15,2401MM18,2401MM19,2401PH03,2401PH05,2401PH07,2401PH08,2401PH11,2402CM09,2402CS01,2402CS03,2402MC09,2402MC10,2402PC01,2402PC02,2402VL01,2402VL05,2402VL06,2402VL07,2402VL08,2403AI03,2403CE01,2403CS02,2403CS04,2403CT03,2403CT05,2403EC02,2403EC04,2403EC05,2403ES01,2403ES02,2403ES03,2403ES05,2403MC04,2403MM03,"
147,22-09-2025,Monday,Morning,CS502,CC-1,"2201CS27,2201CS28,2201CS29,2201CS30,2201CS31,2201CS32,2201CS33,2201CS34,2201CS35,2201CS36,2201CS37,2201CS38,2201CS39,2201CS40,2201CS41,2201CS42,2201CS43,2201CS44,2201CS45,2201CS46,2201CS47,2201CS48,2201CS49,2201CS50,2201CS51,2201CS52,2201CS53,2201CS54,2201CS55,2201CS56,2201CS57,2201CS58,2201CS59,2201CS60,2201CS61,2201CS62,2201CS63,2201CS64,2201CS65,2201CS66,2201CS67,2201CS68,2201CS69,2201CS70,2201CS71,2201CS72,2201CS73,2201CS74,2201CS75,2201CS76,2201CS77,2201CS78,2201CS79,2201CS80,2201CS81,2201CS82,2201CS83,2201CS84,2201CS85,2201CS86,2201CS87,2201CS88,2201CS89,2201CS90,2201CS91,2201CS92,2201CS93,2201CS94,2201CS95,"
148,22-09-2025,Monday,Morning,HS2116,CC-1,"2401ME16,2401ME17,2401ME25,2401ME26,2401ME30,2401ME34,2401ME39,2401ME41,2401ME46,2401ME61,2401ME62,2401ME72,2401ME78,2401MM01,2401MM02,2401MM03,2401MM04,2401MM07,2401MM17,2401MM21,2401MM22,2401MM23,2401MM34,2401PH13,2401PH23,2401PH28,2402CM10,2402CS05,2402CS09,2402CS12,2402GT06,2402GT08,2402MC02,2402MC12,2402MT05,2402MT08,2402PC03,2402ST03,2402ST06,2402ST07,2402VL02,2402VL09,2402VL10,2403AI02,2403AI04,2403AI05,2403CB01,2403CB02,2403CB04,2403CE03,2403CS03,2403EC03,2403EE03,2403EE05,2403EE06,2403MC02,2403MC03,2403MC05,2403MM05,2403PH01,2403PH02,"
149,22-09-2025,Monday,Evening,PH1101,102,"2501CS06,2501CS10,2501CS21,2501CS22,2501CS23,2501CS29,2501CS30,2501CS31,2501CS32,2501CS33,2501CS34,2501CS35,2501CS36,2501CS37,2501CS38,2501CS39,2501CS40,2501CS41,2501CS42,2501CS43,2501CS44,2501CS45,2501CS46,2501CS47,2501CS48,2501CS49,2501CS50,2501CS51,2501CS52,2501CS53,2501CS54,2501CS55,2501CS56,2501CS57,2501CS58,2501CS59,2501CS60,2501CS61,2501CS62,2501CS63,2501CS64,2501CS65,2501CS66,2501CS67,2501CS68,2501CS69,2501CS70,2501CS71,2501CS72,2501CS73,2501CS74,2501CS75,2501CS76,2501CS77,2501CS78,2501CS79,2501CS80,2501CS81,2501CS82,2501CS83,2501CS84,2501CS85,2501CS86,2501CS87,"
150,22-09-2025,Monday,Evening,PH7111,102,"2421EE12,2421EE15,2521PH01,2521PH04,2521PH06,2521PH07,2521PH08,2521PH09,2521PH12,2521PH13,"
151,22-09-2025,Monday,Evening,CH1101,104,"2501AI01,2501AI02,2501AI03,2501AI04,2501AI05,2501AI06,2501AI07,2501AI08,2501AI09,2501AI10,2501AI11,2501AI12,2501AI13,2501AI14,2501AI15,2501AI16,2501AI17,2501AI18,2501AI19,2501AI20,2501AI21,2501AI22,2501AI23,2501AI24,2501AI25,2501AI26,2501AI27,2501AI28,2501AI29,2501AI30,2501AI31,2501AI32,2501AI33,2501AI34,2501AI35,2501AI36,2501AI37,2501AI38,2501AI39,2501AI40,2501AI41,2501AI42,2501AI43,2501AI44,2501AI45,2501AI46,2501AI47,2501AI48,2501AI49,2501CB01,2501CB02,2501CB03,2501CB04,2501CB05,2501CB06,2501CB08,2501CB10,2501CB11,2501CB12,2501CB13,2501CB14,2501CB15,2501CB16,2501CB17,2501CB18,2501CB19,2501CB20,2501CB21,2501CB22,2501CB23,2501CB24,2501CB25,2501CB26,2501CB27,2501CB28,2501CB29,2501CB30,2501CB31,2501CB32,2501CB33,"
152,22-09-2025,Monday,Evening,CH1101,107,"2501CB34,2501CB35,2501CB36,2501CB38,2501CB39,2501CB40,2501CB41,2501CB42,2501CB43,2501CB44,2501CB45,2501CB46,2501CB47,2501CB48,2501CB49,2501CB50,2501CB51,2501CB52,2501CB53,2501CB54,2501CB55,2501CB56,2501CB58,2501CB59,2501CB60,2501CB61,2501CB62,2501CB63,2501CB64,2501CB65,2501CE01,2501CE02,2501CE03,2501CE04,2501CE05,2501CE06,2501CE07,2501CE08,2501CE09,2501CE10,2501CE11,2501CE12,2501CE13,2501CE14,2501CE15,2501CE16,2501CE17,2501CE18,2501CE19,2501CE20,2501CE21,2501CE22,2501CE23,2501CE24,2501CE25,2501CE26,2501CE27,2501CE28,2501CE29,2501CE30,2501CE31,2501CE32,2501CE33,2501CE35,2501CE36,2501CE37,2501CE38,2501CE39,2501CE40,2501CE41,2501CE42,2501CE43,2501CE44,2501CE45,2501CE46,2501CE47,2501CE48,2501CE49,2501CE50,2501CE51,"
153,22-09-2025,Monday,Evening,CB3106,108,"2301AI09,2301AI10,2301AI11,2301AI28,2301AI31,2301AI33,2301AI35,2301AI40,2301AI42,2301CE06,2301CE11,2301CE14,2301CE17,2301CE23,2301CE34,2301CE36,2301CE50,2301CE60,2301CE70,2301CS06,2301CS16,2301CS20,2301CS45,2301CS49,2301CS67,2301CS88,2301CS90,2301CT13,2301CT16,2301CT20,"
154,22-09-2025,Monday,Evening,CH1101,109,"2501CE52,2501CE53,2501CE54,2501CE55,2501CE56,2501CE57,2501CE58,2501CE59,2501CE60,2501CE61,2501CE62,2501CE63,2501CE64,2501CE65,2501CE68,2501CE69,2501CS01,2501CS02,2501CS03,2501CS04,2501CS05,2501CS07,2501CS08,2501CS09,2501CS11,2501CS12,2501CS13,2501CS14,2501CS15,2501CS16,2501CS17,2501CS18,2501CS19,2501CS20,2501CS25,2501CS26,2501CS27,2501CS28,2501CS89,2501CT01,2501CT02,2501CT03,2501CT04,2501CT05,2501CT06,2501CT07,2501CT08,2501CT09,2501CT11,2501CT12,2501CT13,2501CT14,2501CT15,2501CT16,2501CT17,2501CT18,2501CT19,2501CT20,2501CT21,2501CT22,2501CT23,2501CT24,2501CT25,2501CT26,2501CT27,2501CT28,2501CT29,2501CT30,2501CT31,2501CT32,2501CT33,2501CT35,2501CT36,2502CM01,2502CM02,2502CM03,2502CM04,2502CM05,2502CM06,2502CM07,"
155,22-09-2025,Monday,Evening,CB3106,301,"2301CT22,2301CT33,2301CT34,2301CT35,2301EC03,2301EC23,2301EC54,2301EE14,2301EE16,2301EE26,2301EE28,2301EE30,2301EE34,2301EE48,2301EE51,2301EE53,2301EE55,2301EE57,2301MC07,2301MC11,2301MC24,2301MC51,2301MC55,2301ME05,2301ME09,2301ME16,2301ME19,2301ME25,2301ME38,2301ME45,"
156,22-09-2025,Monday,Evening,MM3106,301,"2301AI01,2301AI02,"
157,22-09-2025,Monday,Evening,CH7112,303,"2421CH10,2422CH01,2422CH02,2422CH03,2422CH04,2422CH05,2521CB02,2521CB04,2521CB05,2521CB06,2521CB07,2521CB08,2521CB09,2521CB10,2521CB12,2521CB13,2521CH01,2521CH02,2521CH03,2521CH04,2521CH05,2521CH06,2521CH07,2521CH08,"
158,22-09-2025,Monday,Evening,CH1101,303,"2502CM08,2502CS01,2502CS02,2502CS03,2502CS04,2502CS05,2502CS06,2502CS07,2502CS09,2502GT01,2502GT02,2502GT03,2502GT04,2502GT06,2502GT09,2502MC01,2502MC02,2502MC03,2502MC04,2502MC05,2502MC06,2502MC07,2502MC08,2502MC10,2502MT01,2502MT02,2502MT03,2502MT04,2502MT05,2502MT06,2502MT07,2502MT08,2502MT09,2502MT10,2502PC01,2502PC02,2502PC03,2502PC04,2502PC05,2502PC06,2502PC07,2502PC08,2502PC09,2502PC10,2502ST01,2502ST02,2502ST03,2502ST04,"
159,22-09-2025,Monday,Evening,HS7105,304,"2422HS01,2422HS03,2422HS04,2422HS05,2422HS06,2422HS09,2422HS11,2422HS13,2521HS01,2521HS03,2521HS05,2521HS06,2521HS07,2521HS09,2521HS10,2521HS11,2521HS12,"
